Word,Frequency,Frequency(%)
,30038,81.09
2022,257,0.69
1,168,0.45
24,115,0.31
2,81,0.22
2017,78,0.21
the,76,0.21
2019,72,0.19
2020,64,0.17
2012,59,0.16
isbn,59,0.16
2021,58,0.16
2016,57,0.15
2010,56,0.15
2015,56,0.15
9,55,0.15
4,54,0.15
000,50,0.13
30,49,0.13
10,47,0.13
and,46,0.12
21,45,0.12
2013,45,0.12
2011,44,0.12
15,44,0.12
2008,43,0.12
3,43,0.12
5,43,0.12
25,41,0.11
2014,38,0.10
of,38,0.10
6,38,0.10
8,37,0.10
russia,37,0.10
2009,36,0.10
12,36,0.10
7,36,0.10
26,32,0.09
23,31,0.08
17,31,0.08
a,29,0.08
2007,29,0.08
31,29,0.08
16,29,0.08
2018,29,0.08
19,28,0.08
in,28,0.08
20,28,0.08
p,28,0.08
28,27,0.07
18,26,0.07
1991,25,0.07
2023,25,0.07
2000,24,0.06
11,23,0.06
29,23,0.06
14,23,0.06
35,22,0.06
press,21,0.06
i,19,0.05
22,18,0.05
2004,18,0.05
100,17,0.05
2006,17,0.05
university,17,0.05
history,17,0.05
13,16,0.04
20042017,16,0.04
world,16,0.04
1990,16,0.04
146,15,0.04
2003,15,0.04
40,15,0.04
27,14,0.04
50,14,0.04
70,14,0.04
2005,14,0.04
ed,14,0.04
wayback,13,0.04
1993,13,0.04
xx,13,0.04
oxford,13,0.04
c,13,0.04
machine,13,0.04
xix,12,0.03
65,12,0.03
1999,12,0.03
2001,12,0.03
russian,12,0.03
57,11,0.03
1917,11,0.03
2002,11,0.03
to,11,0.03
68,11,0.03
228,11,0.03
duration,11,0.03
45,10,0.03
1989,10,0.03
32,10,0.03
43,10,0.03
148,10,0.03
39,10,0.03
80,10,0.03
48,10,0.03
m,10,0.03
49,10,0.03
cambridge,10,0.03
soviet,9,0.02
41,9,0.02
new,9,0.02
142,9,0.02
by,9,0.02
200,9,0.02
1995,9,0.02
34,9,0.02
n,9,0.02
freedom,9,0.02
g,8,0.02
125,8,0.02
countries,8,0.02
ii,8,0.02
147,8,0.02
1918,8,0.02
55,8,0.02
r,8,0.02
1992,8,0.02
1998,8,0.02
33,8,0.02
225,8,0.02
house,7,0.02
from,7,0.02
international,7,0.02
252,7,0.02
issn,7,0.02
1996,7,0.02
j,7,0.02
124,7,0.02
46,7,0.02
largest,7,0.02
51,7,0.02
53,7,0.02
54,7,0.02
d,7,0.02
58,7,0.02
60,7,0.02
104,7,0.02
union,6,0.02
62,6,0.02
141,6,0.02
37,6,0.02
143,6,0.02
119,6,0.02
135,6,0.02
63,6,0.02
105,6,0.02
42,6,0.02
vol,6,0.02
country,6,0.02
89,6,0.02
600,6,0.02
xv,6,0.02
500,6,0.02
64,6,0.02
75,6,0.02
iii,6,0.02
220,5,0.01
182,5,0.01
340,5,0.01
136,5,0.01
1922,5,0.01
for,5,0.01
83,5,0.01
1970,5,0.01
56,5,0.01
99,5,0.01
1941,5,0.01
annexation,5,0.01
1721,5,0.01
173,5,0.01
74,5,0.01
197,5,0.01
factbook,5,0.01
1987,5,0.01
882,5,0.01
38,5,0.01
144,5,0.01
87,5,0.01
1994,5,0.01
61,5,0.01
xviii,5,0.01
weekly,5,0.01
york,5,0.01
098,5,0.01
xii,5,0.01
transparency,5,0.01
112,5,0.01
1000,5,0.01
110,5,0.01
on,5,0.01
107,5,0.01
ukraine,5,0.01
114,5,0.01
122,5,0.01
ukrainian,5,0.01
putin,5,0.01
103,5,0.01
l,5,0.01
index,5,0.01
101,5,0.01
top,4,0.01
66,4,0.01
320,4,0.01
111,4,0.01
166,4,0.01
b,4,0.01
201,4,0.01
159,4,0.01
britannica,4,0.01
1547,4,0.01
xiii,4,0.01
xiv,4,0.01
043,4,0.01
347,4,0.01
254,4,0.01
116,4,0.01
179,4,0.01
106,4,0.01
800,4,0.01
81,4,0.01
82,4,0.01
v,4,0.01
war,4,0.01
78,4,0.01
77,4,0.01
1800,4,0.01
76,4,0.01
nations,4,0.01
86,4,0.01
macmillan,4,0.01
862,4,0.01
108,4,0.01
natural,4,0.01
177,4,0.01
73,4,0.01
72,4,0.01
284,4,0.01
28100,4,0.01
700,4,0.01
with,4,0.01
that,4,0.01
98,4,0.01
introduction,4,0.01
36,4,0.01
states,4,0.01
246,4,0.01
1997,4,0.01
state,4,0.01
450,4,0.01
138,4,0.01
137,4,0.01
447,4,0.01
213,4,0.01
y,4,0.01
454,4,0.01
intelligence,4,0.01
s,4,0.01
132,4,0.01
387,4,0.01
131,4,0.01
415,4,0.01
410,4,0.01
review,4,0.01
123,4,0.01
128,4,0.01
ru,4,0.01
economist,4,0.01
xvii,4,0.01
355,4,0.01
196,4,0.01
30122008,3,0.01
426,3,0.01
tarihi,3,0.01
300,3,0.01
1904,3,0.01
102,3,0.01
430,3,0.01
720,3,0.01
1975,3,0.01
3000,3,0.01
